

 TLevel   Time         dt      Iter  ItCum
  537    .171E+03    .250E+00    2  1170
  538    .172E+03    .375E+00    2  1172
  539    .172E+03    .375E+00    2  1174
  540    .172E+03    .200E-01    3  1177
  541    .172E+03    .258E-01    3  1180
  542    .172E+03    .341E-01    3  1183
  543    .172E+03    .438E-01    3  1186
  544    .172E+03    .584E-01    3  1189
  545    .172E+03    .744E-01    3  1192
  546    .172E+03    .929E-01    4  1196
  547    .172E+03    .929E-01    4  1200
  548    .173E+03    .929E-01    3  1203
  549    .173E+03    .116E+00    4  1207
  550    .173E+03    .116E+00    3  1210
  551    .173E+03    .232E+00    4  1214
  552    .173E+03    .200E-01    3  1217
  553    .173E+03    .196E+00    3  1220
  554    .173E+03    .261E+00    3  1223
  555    .174E+03    .261E+00    3  1226
  556    .174E+03    .261E+00    3  1229
  557    .174E+03    .200E-01    2  1231
  558    .174E+03    .258E-01    2  1233
  559    .174E+03    .341E-01    2  1235
  560    .174E+03    .438E-01    2  1237
  561    .174E+03    .584E-01    2  1239
  562    .174E+03    .744E-01    2  1241
  563    .174E+03    .929E-01    2  1243
  564    .174E+03    .130E+00    2  1245
  565    .175E+03    .173E+00    2  1247
  566    .175E+03    .173E+00    2  1249
  567    .175E+03    .173E+00    2  1251
  568    .175E+03    .200E-01    2  1253
  569    .175E+03    .258E-01    2  1255
  570    .175E+03    .341E-01    2  1257
  571    .175E+03    .438E-01    2  1259
  572    .175E+03    .584E-01    2  1261
  573    .175E+03    .744E-01    2  1263
  574    .175E+03    .929E-01    2  1265
  575    .175E+03    .130E+00    2  1267
  576    .176E+03    .173E+00    2  1269
  577    .176E+03    .173E+00    2  1271
  578    .176E+03    .173E+00    2  1273
  579    .176E+03    .200E-01    3  1276
  580    .176E+03    .258E-01    3  1279
  581    .176E+03    .341E-01    3  1282
  582    .176E+03    .438E-01    3  1285
  583    .176E+03    .584E-01    3  1288
  584    .176E+03    .744E-01    3  1291
  585    .176E+03    .929E-01    3  1294
  586    .176E+03    .130E+00    3  1297
  587    .177E+03    .173E+00    3  1300
  588    .177E+03    .173E+00    3  1303
  589    .177E+03    .173E+00    3  1306
  590    .177E+03    .200E-01    2  1308
  591    .177E+03    .258E-01    2  1310
  592    .177E+03    .341E-01    2  1312
  593    .177E+03    .438E-01    2  1314
  594    .177E+03    .584E-01    2  1316
  595    .177E+03    .744E-01    2  1318
  596    .177E+03    .929E-01    2  1320
  597    .177E+03    .130E+00    2  1322
  598    .178E+03    .173E+00    2  1324
  599    .178E+03    .173E+00    2  1326
  600    .178E+03    .173E+00    2  1328
  601    .178E+03    .200E-01    3  1331
  602    .178E+03    .258E-01    3  1334
  603    .178E+03    .341E-01    3  1337
  604    .178E+03    .438E-01    3  1340
  605    .178E+03    .584E-01    3  1343
  606    .178E+03    .744E-01    3  1346
  607    .178E+03    .929E-01    3  1349
  608    .178E+03    .130E+00    3  1352
  609    .179E+03    .173E+00    3  1355
  610    .179E+03    .173E+00    3  1358
  611    .179E+03    .173E+00    3  1361
  612    .179E+03    .200E-01    2  1363
  613    .179E+03    .258E-01    2  1365
  614    .179E+03    .341E-01    2  1367
  615    .179E+03    .438E-01    2  1369
  616    .179E+03    .584E-01    2  1371
  617    .179E+03    .744E-01    2  1373
  618    .179E+03    .929E-01    2  1375
  619    .179E+03    .130E+00    2  1377
  620    .180E+03    .173E+00    2  1379
  621    .180E+03    .173E+00    2  1381
  622    .180E+03    .173E+00    2  1383
  623    .180E+03    .200E-01    2  1385
  624    .180E+03    .258E-01    2  1387
  625    .180E+03    .341E-01    2  1389
  626    .180E+03    .438E-01    2  1391
  627    .180E+03    .584E-01    2  1393
  628    .180E+03    .744E-01    2  1395
  629    .180E+03    .929E-01    2  1397
  630    .180E+03    .130E+00    2  1399
  631    .181E+03    .173E+00    2  1401
  632    .181E+03    .173E+00    2  1403
  633    .181E+03    .173E+00    2  1405
  634    .181E+03    .200E-01    2  1407
  635    .181E+03    .258E-01    2  1409
  636    .181E+03    .341E-01    2  1411
  637    .181E+03    .438E-01    2  1413
  638    .181E+03    .584E-01    2  1415
  639    .181E+03    .744E-01    2  1417
  640    .181E+03    .929E-01    2  1419
  641    .181E+03    .130E+00    2  1421
  642    .182E+03    .173E+00    2  1423
  643    .182E+03    .173E+00    2  1425
  644    .182E+03    .173E+00    2  1427
  645    .182E+03    .200E-01    2  1429
  646    .182E+03    .258E-01    2  1431
  647    .182E+03    .341E-01    2  1433
  648    .182E+03    .438E-01    2  1435
  649    .182E+03    .584E-01    2  1437
  650    .182E+03    .744E-01    2  1439
  651    .182E+03    .929E-01    2  1441
  652    .182E+03    .130E+00    2  1443
  653    .183E+03    .173E+00    2  1445
  654    .183E+03    .173E+00    2  1447
  655    .183E+03    .173E+00    2  1449
  656    .183E+03    .200E-01    2  1451
  657    .183E+03    .258E-01    2  1453
  658    .183E+03    .341E-01    2  1455
  659    .183E+03    .438E-01    3  1458
  660    .183E+03    .584E-01    3  1461
  661    .183E+03    .744E-01    3  1464
  662    .183E+03    .929E-01    3  1467
  663    .183E+03    .130E+00    3  1470
  664    .184E+03    .173E+00    3  1473
  665    .184E+03    .173E+00    3  1476
  666    .184E+03    .173E+00    3  1479
  667    .184E+03    .200E-01    2  1481
  668    .184E+03    .258E-01    2  1483
  669    .184E+03    .341E-01    2  1485
  670    .184E+03    .438E-01    2  1487
  671    .184E+03    .584E-01    2  1489
  672    .184E+03    .744E-01    2  1491
  673    .184E+03    .929E-01    2  1493
  674    .184E+03    .130E+00    2  1495
  675    .185E+03    .173E+00    2  1497
  676    .185E+03    .173E+00    2  1499
  677    .185E+03    .173E+00    2  1501
  678    .185E+03    .200E-01    1  1502
  679    .185E+03    .258E-01    1  1503
  680    .185E+03    .341E-01    2  1505
  681    .185E+03    .438E-01    2  1507
  682    .185E+03    .584E-01    2  1509
  683    .185E+03    .744E-01    2  1511
  684    .185E+03    .929E-01    2  1513
  685    .185E+03    .130E+00    2  1515
  686    .186E+03    .173E+00    2  1517
  687    .186E+03    .173E+00    2  1519
  688    .186E+03    .173E+00    2  1521
  689    .186E+03    .200E-01    2  1523
  690    .186E+03    .258E-01    2  1525
  691    .186E+03    .341E-01    2  1527
  692    .186E+03    .438E-01    2  1529
  693    .186E+03    .584E-01    2  1531
  694    .186E+03    .744E-01    2  1533
  695    .186E+03    .929E-01    2  1535
  696    .186E+03    .130E+00    2  1537
  697    .187E+03    .173E+00    2  1539
  698    .187E+03    .173E+00    2  1541
  699    .187E+03    .173E+00    2  1543
  700    .187E+03    .250E+00    2  1545
  701    .188E+03    .375E+00    2  1547
  702    .188E+03    .375E+00    2  1549
  703    .189E+03    .500E+00    3  1552
  704    .189E+03    .500E+00    3  1555
  705    .190E+03    .500E+00    3  1558
  706    .190E+03    .500E+00    3  1561
  707    .191E+03    .500E+00    2  1563
  708    .191E+03    .500E+00    2  1565
  709    .192E+03    .500E+00    3  1568
  710    .192E+03    .500E+00    3  1571
  711    .192E+03    .200E-01    1  1572
  712    .192E+03    .258E-01    1  1573
  713    .192E+03    .341E-01    2  1575
  714    .192E+03    .438E-01    2  1577
  715    .192E+03    .584E-01    2  1579
  716    .192E+03    .744E-01    2  1581
  717    .192E+03    .929E-01    2  1583
  718    .192E+03    .130E+00    2  1585
