


                               Node( 87)

     time        hNew    theta    Temp       Conc       Sorb    
     22.587       .000   .6330     .000   .483E+01   .000E+00
     22.623       .000   .6330     .000   .479E+01   .000E+00
     22.659       .000   .6330     .000   .475E+01   .000E+00
     22.695       .000   .6330     .000   .471E+01   .000E+00
     22.730       .000   .6330     .000   .466E+01   .000E+00
     22.766       .000   .6330     .000   .462E+01   .000E+00
     22.801       .000   .6330     .000   .458E+01   .000E+00
     22.837       .000   .6330     .000   .454E+01   .000E+00
     22.872       .000   .6330     .000   .450E+01   .000E+00
     22.908       .000   .6330     .000   .446E+01   .000E+00
     22.943       .000   .6330     .000   .442E+01   .000E+00
     22.978       .000   .6330     .000   .438E+01   .000E+00
     23.012       .000   .6330     .000   .434E+01   .000E+00
     23.047       .000   .6330     .000   .429E+01   .000E+00
     23.082       .000   .6330     .000   .425E+01   .000E+00
     23.117       .000   .6330     .000   .421E+01   .000E+00
     23.152       .000   .6330     .000   .417E+01   .000E+00
     23.187       .000   .6330     .000   .413E+01   .000E+00
     23.221       .000   .6330     .000   .409E+01   .000E+00
     23.256       .000   .6330     .000   .406E+01   .000E+00
     23.290       .000   .6330     .000   .402E+01   .000E+00
     23.324       .000   .6330     .000   .398E+01   .000E+00
     23.358       .000   .6330     .000   .394E+01   .000E+00
     23.393       .000   .6330     .000   .390E+01   .000E+00
     23.427       .000   .6330     .000   .386E+01   .000E+00
     23.461       .000   .6330     .000   .382E+01   .000E+00
     23.495       .000   .6330     .000   .379E+01   .000E+00
     23.529       .000   .6330     .000   .375E+01   .000E+00
     23.563       .000   .6330     .000   .371E+01   .000E+00
     23.597       .000   .6330     .000   .367E+01   .000E+00
     23.631       .000   .6330     .000   .364E+01   .000E+00
     23.664       .000   .6330     .000   .360E+01   .000E+00
     23.698       .000   .6330     .000   .356E+01   .000E+00
     23.731       .000   .6330     .000   .353E+01   .000E+00
     23.764       .000   .6330     .000   .349E+01   .000E+00
     23.798       .000   .6330     .000   .345E+01   .000E+00
     23.831       .000   .6330     .000   .342E+01   .000E+00
     23.865       .000   .6330     .000   .338E+01   .000E+00
     23.898       .000   .6330     .000   .335E+01   .000E+00
     23.931       .000   .6330     .000   .331E+01   .000E+00
     23.964       .000   .6330     .000   .327E+01   .000E+00
     23.997       .000   .6330     .000   .324E+01   .000E+00
     24.030       .000   .6330     .000   .320E+01   .000E+00
     24.063       .000   .6330     .000   .317E+01   .000E+00
     24.096       .000   .6330     .000   .314E+01   .000E+00
     24.129       .000   .6330     .000   .310E+01   .000E+00
     24.162       .000   .6330     .000   .307E+01   .000E+00
     24.194       .000   .6330     .000   .303E+01   .000E+00
     24.226       .000   .6330     .000   .300E+01   .000E+00
     24.258       .000   .6330     .000   .297E+01   .000E+00
     24.291       .000   .6330     .000   .294E+01   .000E+00
     24.323       .000   .6330     .000   .290E+01   .000E+00
     24.355       .000   .6330     .000   .287E+01   .000E+00
     24.387       .000   .6330     .000   .284E+01   .000E+00
     24.420       .000   .6330     .000   .281E+01   .000E+00
     24.452       .000   .6330     .000   .277E+01   .000E+00
     24.484       .000   .6330     .000   .274E+01   .000E+00
     24.516       .000   .6330     .000   .271E+01   .000E+00
     24.548       .000   .6330     .000   .268E+01   .000E+00
     24.580       .000   .6330     .000   .265E+01   .000E+00
     24.612       .000   .6330     .000   .262E+01   .000E+00
     24.644       .000   .6330     .000   .259E+01   .000E+00
     24.676       .000   .6330     .000   .255E+01   .000E+00
     24.708       .000   .6330     .000   .252E+01   .000E+00
     24.740       .000   .6330     .000   .249E+01   .000E+00
     24.771       .000   .6330     .000   .246E+01   .000E+00
     24.803       .000   .6330     .000   .243E+01   .000E+00
     24.835       .000   .6330     .000   .240E+01   .000E+00
     24.866       .000   .6330     .000   .238E+01   .000E+00
     24.898       .000   .6330     .000   .235E+01   .000E+00
     24.929       .000   .6330     .000   .232E+01   .000E+00
     24.960       .000   .6330     .000   .229E+01   .000E+00
     24.980       .000   .6330     .000   .227E+01   .000E+00
     25.000       .000   .6330     .000   .225E+01   .000E+00
