


                         Node(***)                      Node(***)                      Node(***)                      Node(***)                      Node(

     time         hNew     theta     conc        hNew     theta     conc        hNew     theta     conc        hNew     theta     conc    
       .372     -3.209    .0804   .144E-01      1.907    .4500   .196E-35      5.788    .4500   .000E+00       .000    .4500   .241E-42
       .378     -3.017    .0822   .181E-01      1.903    .4500   .237E-35      5.786    .4500   .000E+00       .000    .4500   .314E-42
       .385     -2.839    .0844   .224E-01      1.900    .4500   .286E-35      5.784    .4500   .000E+00       .000    .4500   .406E-42
       .392     -2.641    .0868   .275E-01      1.896    .4500   .342E-35      5.782    .4500   .000E+00       .000    .4500   .524E-42
       .399     -2.455    .0897   .334E-01      1.893    .4500   .408E-35      5.779    .4500   .000E+00       .000    .4500   .674E-42
       .405     -2.268    .0929   .401E-01      1.890    .4500   .483E-35      5.777    .4500   .000E+00       .000    .4500   .862E-42
       .412     -2.080    .0966   .478E-01      1.887    .4500   .570E-35      5.775    .4500   .000E+00       .000    .4500   .110E-41
       .419     -1.908    .1009   .564E-01      1.884    .4500   .669E-35      5.773    .4500   .000E+00       .000    .4500   .139E-41
       .426     -1.740    .1057   .661E-01      1.881    .4500   .780E-35      5.771    .4500   .000E+00       .000    .4500   .175E-41
       .432     -1.577    .1113   .770E-01      1.877    .4500   .903E-35      5.769    .4500   .000E+00       .000    .4500   .221E-41
       .439     -1.421    .1178   .891E-01      1.874    .4500   .104E-34      5.767    .4500   .000E+00       .000    .4500   .276E-41
       .446     -1.273    .1253   .103E+00      1.871    .4500   .118E-34      5.765    .4500   .000E+00       .000    .4500   .345E-41
       .453     -1.131    .1343   .118E+00      1.868    .4500   .133E-34      5.763    .4500   .000E+00       .000    .4500   .429E-41
       .459      -.986    .1462   .137E+00      1.865    .4500   .149E-34      5.761    .4500   .000E+00       .000    .4500   .531E-41
       .466      -.868    .1584   .156E+00      1.862    .4500   .163E-34      5.759    .4500   .000E+00       .000    .4500   .656E-41
       .473      -.768    .1712   .174E+00      1.860    .4500   .176E-34      5.758    .4500   .000E+00       .000    .4500   .807E-41
       .480      -.686    .1841   .191E+00      1.857    .4500   .185E-34      5.756    .4500   .000E+00       .000    .4500   .990E-41
